"AdID","職位名稱","公司名稱","發布日期","職位詳情連結","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26031801","學校會計 (2026 年 6 月到職)","救恩學校 KAU YAN SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26031801/%E5%AD%B8%E6%A0%A1%E6%9C%83%E8%A8%88-2026-%E5%B9%B4-6-%E6%9C%88%E5%88%B0%E8%81%B7-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26031821","School Administrative Officer 學校行政主任","香港力邁學校 HONG KONG LIMAI SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26031821/School-Administrative-Officer-%E5%AD%B8%E6%A0%A1%E8%A1%8C%E6%94%BF%E4%B8%BB%E4%BB%BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26031841","全職校本言語治療師","粉嶺公立學校 FANLING PUBLIC SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26031841/%E5%85%A8%E8%81%B7%E6%A0%A1%E6%9C%AC%E8%A8%80%E8%AA%9E%E6%B2%BB%E7%99%82%E5%B8%AB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26031931","物理科及科學科 / 普通電腦科學位教師一名 (合約)","中華基督教會基朗中學 KEI LONG COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26031931/%E7%89%A9%E7%90%86%E7%A7%91%E5%8F%8A%E7%A7%91%E5%AD%B8%E7%A7%91-%E6%99%AE%E9%80%9A%E9%9B%BB%E8%85%A6%E7%A7%91%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB%E4%B8%80%E5%90%8D-%E5%90%88%E7%B4%84-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26031932","校工","中華基督教會基朗中學 KEI LONG COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26031932/%E6%A0%A1%E5%B7%A5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032261","常額學位教師 APSM / GM (2026/27 年度)","保良局余李慕芬紀念學校 PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032261/%E5%B8%B8%E9%A1%8D%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-APSM-GM-2026-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032262","兼職註冊物理治療師 (2026/27 年度)","保良局余李慕芬紀念學校 PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032262/%E5%85%BC%E8%81%B7%E8%A8%BB%E5%86%8A%E7%89%A9%E7%90%86%E6%B2%BB%E7%99%82%E5%B8%AB-2026-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032263","教學及活動助理 (2026/27 年度)","保良局余李慕芬紀念學校 PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032263/%E6%95%99%E5%AD%B8%E5%8F%8A%E6%B4%BB%E5%8B%95%E5%8A%A9%E7%90%86-2026-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032264","工場事務員 WA (2026/27 年度)","保良局余李慕芬紀念學校 PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032264/%E5%B7%A5%E5%A0%B4%E4%BA%8B%E5%8B%99%E5%93%A1-WA-2026-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032265","工友 (2026/27 年度)","保良局余李慕芬紀念學校 PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032265/%E5%B7%A5%E5%8F%8B-2026-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032266","課室助理 (2026/27 年度)","保良局余李慕芬紀念學校 PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032266/%E8%AA%B2%E5%AE%A4%E5%8A%A9%E7%90%86-2026-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032301","English Teacher (School-based NET not under the EDB NET Scheme 2026-2027)","樂華天主教小學 LOK WAH CATHOLIC PRIMARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032301/English-Teacher-School-based-NET-not-under-the-EDB-NET-Scheme-2026-2027-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032302","助理小學學位教師 APSM (NET / 英 / 數 / 宗教) (2026/2027 年度)","樂華天主教小學 LOK WAH CATHOLIC PRIMARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032302/%E5%8A%A9%E7%90%86%E5%B0%8F%E5%AD%B8%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-APSM-NET-%E8%8B%B1-%E6%95%B8-%E5%AE%97%E6%95%99-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032321","二級職業治療師 OT II (合約)","沙田公立學校 SHATIN PUBLIC SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032321/%E4%BA%8C%E7%B4%9A%E8%81%B7%E6%A5%AD%E6%B2%BB%E7%99%82%E5%B8%AB-OT-II-%E5%90%88%E7%B4%84-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032361","英文科老師 (常額 / 合約)","聖公會聖約翰曾肇添小學 SKH ST. JOHN'S TSANG SHIU TIM PRIMARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032361/%E8%8B%B1%E6%96%87%E7%A7%91%E8%80%81%E5%B8%AB-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032381","常額 / 合約英文科教師 APSM (能任教體育科)","合一堂學校 HOP YAT CHURCH SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032381/%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84%E8%8B%B1%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB-APSM-%E8%83%BD%E4%BB%BB%E6%95%99%E9%AB%94%E8%82%B2%E7%A7%91-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032391","文書助理 (CA 非編制內)","聖公會將軍澳基德小學 S.K.H. TSEUNG KWAN O KEI TAK PRIMARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032391/%E6%96%87%E6%9B%B8%E5%8A%A9%E7%90%86-CA-%E9%9D%9E%E7%B7%A8%E5%88%B6%E5%85%A7-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032471","常額 / 合約學位教師 - 資訊及通訊科技科 (26-27 年度)","聖士提反堂中學 ST. STEPHEN'S CHURCH COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032471/%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB---%E8%B3%87%E8%A8%8A%E5%8F%8A%E9%80%9A%E8%A8%8A%E7%A7%91%E6%8A%80%E7%A7%91-26-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032472","各科學術班、支援班及興趣班導師 (合約、兼職) (26-27 年度)","聖士提反堂中學 ST. STEPHEN'S CHURCH COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032472/%E5%90%84%E7%A7%91%E5%AD%B8%E8%A1%93%E7%8F%AD%E3%80%81%E6%94%AF%E6%8F%B4%E7%8F%AD%E5%8F%8A%E8%88%88%E8%B6%A3%E7%8F%AD%E5%B0%8E%E5%B8%AB-%E5%90%88%E7%B4%84%E3%80%81%E5%85%BC%E8%81%B7-26-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032491","English Teacher","迦密柏雨中學 CARMEL PAK U SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032491/English-Teacher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032492","Chinese Teacher","迦密柏雨中學 CARMEL PAK U SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032492/Chinese-Teacher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032521","體育及中文 / 英文 / 數學合約教師","聖保祿天主教小學 ST PAUL'S PRIMARY CATHOLIC SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032521/%E9%AB%94%E8%82%B2%E5%8F%8A%E4%B8%AD%E6%96%87-%E8%8B%B1%E6%96%87-%E6%95%B8%E5%AD%B8%E5%90%88%E7%B4%84%E6%95%99%E5%B8%AB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032531","Mathematics Teacher (Regular / Contract) (2026-2027 學年)","保良局馬錦明夫人章馥仙中學 PO LEUNG KUK MRS MA KAM MING CHEUNG FOOK SIEN COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032531/Mathematics-Teacher-Regular-Contract-2026-2027-%E5%AD%B8%E5%B9%B4-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032532","Geography Panel Head / Teacher (Regular / Contract) (2026-2027 學年)","保良局馬錦明夫人章馥仙中學 PO LEUNG KUK MRS MA KAM MING CHEUNG FOOK SIEN COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032532/Geography-Panel-Head-Teacher-Regular-Contract-2026-2027-%E5%AD%B8%E5%B9%B4-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032533","音樂科科主任 (常額 / 合約) (2026-2027 學年)","保良局馬錦明夫人章馥仙中學 PO LEUNG KUK MRS MA KAM MING CHEUNG FOOK SIEN COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032533/%E9%9F%B3%E6%A8%82%E7%A7%91%E7%A7%91%E4%B8%BB%E4%BB%BB-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-2026-2027-%E5%AD%B8%E5%B9%B4-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032541","Mathematics Supply Teacher","地利亞修女紀念學校協和二中 DELIA MEMORIAL SCHOOL ( HIP WO NO.2 COLLEGE) ()","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032541/Mathematics-Supply-Teacher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032551","副校長 (首席學位教師 / 高級小學學位教師) (26-27 年度)","道慈佛社楊日霖紀念學校 BUDDHIST TO CHI FAT SHE YEUNG YAT LAM MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032551/%E5%89%AF%E6%A0%A1%E9%95%B7-%E9%A6%96%E5%B8%AD%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-%E9%AB%98%E7%B4%9A%E5%B0%8F%E5%AD%B8%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-26-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032552","常額 / 合約助理小學學位教師 (能兼任音樂或視藝科) (26-27 年度)","道慈佛社楊日霖紀念學校 BUDDHIST TO CHI FAT SHE YEUNG YAT LAM MEMORIAL SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032552/%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84%E5%8A%A9%E7%90%86%E5%B0%8F%E5%AD%B8%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-%E8%83%BD%E5%85%BC%E4%BB%BB%E9%9F%B3%E6%A8%82%E6%88%96%E8%A6%96%E8%97%9D%E7%A7%91-26-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032561","資訊及通訊科技科、普通電腦科學位教師 (合約 / 常額)","仁濟醫院林百欣中學 YAN CHAI HOSPITAL LIM POR YEN SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032561/%E8%B3%87%E8%A8%8A%E5%8F%8A%E9%80%9A%E8%A8%8A%E7%A7%91%E6%8A%80%E7%A7%91%E3%80%81%E6%99%AE%E9%80%9A%E9%9B%BB%E8%85%A6%E7%A7%91%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-%E5%90%88%E7%B4%84-%E5%B8%B8%E9%A1%8D-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032562","教學助理","仁濟醫院林百欣中學 YAN CHAI HOSPITAL LIM POR YEN SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032562/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
