AdID,職位名稱,公司名稱,發布日期,職位詳情連結
HS26068011,Clinic Assistant (University Health Service),香港理工大學 THE HONG KONG POLYTECHNIC UNIVERSITY,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068011
HS26068901,合約小學助理學位教師 (英文科) (嗇色園主辦可譽中學暨可譽小學),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068901
HS26068902,小學合約教學助理 (嗇色園主辦可譽中學暨可譽小學),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068902
HS26068903,小學合約教學助理 (特殊教育) (嗇色園主辦可譽中學暨可譽小學),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068903
HS26068904,常額助理文書主任 (嗇色園主辦可譽中學暨可譽小學),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068904
HS26068905,合約助理小學學位教師 (中文及普通話科) (嗇色園主辦可信學校),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068905
HS26068906,代課教師 (日薪 / 月薪) (嗇色園主辦可信學校),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068906
HS26068907,幼稚園教師 (嗇色園主辦可愛幼兒園),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068907
HS26068908,行政助理 (嗇色園主辦可愛幼兒園),嗇色園 SIK SIK YUEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068908
HS26068971,中學校長,佛教筏可紀念中學 BUDDHIST FAT HO MEMORIAL COLLEGE,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26068971
HS26069031,合約助理小學學位教師 (音樂科),東華三院李賜豪小學 TUNG WAH GROUP OF HOSPITALS LI CHI HO PRIMARY SCHOOL,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069031
HS26069032,全職合約教師助理 1 名,東華三院李賜豪小學 TUNG WAH GROUP OF HOSPITALS LI CHI HO PRIMARY SCHOOL,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069032
HS26069101,幼稚園主任 (2026/2027 年度),迦南幼稚園 CANNAN KINDERGARTEN,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069101
HS26069191,Special Educational Needs (SEN) Team Administrative Assistant,香港聖保羅書院 ST. PAUL'S COLLEGE,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069191
HS26069301,校巴司機一名,福建中學 FUKIEN SECONDARY SCHOOL (KWUN TONG),2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069301
HS26069311,英文科科主任 LPAT4,仁愛堂劉皇發夫人小學 YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069311
HS26069312,合約教師 (2026-2027 年度),仁愛堂劉皇發夫人小學 YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069312
HS26069313,教學助理 (中、英、數、特殊教育需要),仁愛堂劉皇發夫人小學 YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069313
HS26069321,行政助理,仁愛堂劉皇發夫人小學 YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069321
HS26069322,兼職辦公室助理,仁愛堂劉皇發夫人小學 YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069322
HS26069331,Native-speaking English Associate Teacher (2026-2027) (NET Grant),東華三院辛亥年總理中學 TUNG WAH GROUP OF HOSPITALS SUN HOI DIRECTORS' COLLEGE,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069331
HS26069361,Teaching Assistant (English Language & CSD) (2026-2027),上智英文書院 HOLY TRINITY COLLEGE,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069361
HS26069391,Executive Officer I (carrying the job title of 'Senior Operations Manager') (Communications and Public Relations Office),香港中文大學 THE CHINESE UNIVERSITY OF HONG KONG,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069391
HS26069392,Part-time Assistant Computer Officer (carrying the job title of 'Digital Technologist') (Communications and Public Relations Office),香港中文大學 THE CHINESE UNIVERSITY OF HONG KONG,2026-07-24,https://jump.mingpao.com/job/detail/Jobs/2/HS26069392
